"country" "District" "year" "n" "c580y" "r539t" "all_kelch" "min_year" "nobs_c580y" "nobs_r539t" "nobs_kelch" "adj_year" "prev_580y" "prev_539t" "prev_all_kelch" "country_site" "lrsmed_580y" "lrsmed_all_kelch" "lrsmed_539t" "wt_med_539t" "wt_med_580y" "wt_med_all_kelch"
"1" "Cambodia" "Battambang" 2008 25 7 3 12 2008 2 1 2 0 0.28 0.12 0.48 "CambodiaBattambang-" -0.944461608840851 -0.0800427076735365 -1.99243016469021 NA NA NA
"2" "Cambodia" "Battambang" 2009 40 23 0 25 2008 2 1 2 1 0.575 0 0.625 "CambodiaBattambang-" 0.302280871872934 0.510825623765991 NA NA NA NA
"3" "Cambodia" "Koh Kong" 1993 5 0 0 0 1993 0 0 0 0 0 0 0 "CambodiaKoh Kong-" NA NA NA NA NA NA
"4" "Cambodia" "Pailin" 2007 3 0 1 2 2007 8 5 9 0 0 0.333333333333333 0.666666666666667 "CambodiaPailin-" NA 0.693147180559945 -0.693147180559945 0.666666666666667 NA 0.666666666666667
"5" "Cambodia" "Pailin" 2008 35 14 5 20 2007 8 5 9 1 0.4 0.142857142857143 0.571428571428571 "CambodiaPailin-" -0.405465108108164 0.287682072451781 -1.79175946922805 4.28571428571429 8.4 8.57142857142857
"6" "Cambodia" "Pailin" 2009 16 3 2 8 2007 8 5 9 2 0.1875 0.125 0.5 "CambodiaPailin-" -1.46633706879343 0 -1.94591014905531 1.75 2.4375 4
"7" "Cambodia" "Pailin" 2010 10 9 1 10 2007 8 5 9 3 0.9 0.1 1 "CambodiaPailin-" 2.19722457733622 NA -2.19722457733622 0.9 0.9 NA
"8" "Cambodia" "Pailin" 2011 50 39 3 44 2007 8 5 9 4 0.78 0.06 0.88 "CambodiaPailin-" 1.26566637333128 1.99243016469021 -2.75153531304195 2.82 8.58 5.28
"9" "Cambodia" "Pailin" 2012 41 27 0 27 2007 8 5 9 5 0.658536585365854 0 0.658536585365854 "CambodiaPailin-" 0.656779536389071 0.656779536389071 NA NA 9.21951219512195 9.21951219512195
"10" "Cambodia" "Pailin" 2015 47 12 0 12 2007 8 5 9 8 0.25531914893617 0 0.25531914893617 "CambodiaPailin-" -1.07044141170141 -1.07044141170141 NA NA 8.93617021276596 8.93617021276596
